Seating Interest (Sidewalk/Roadway/Both),CAMIS,Approved for Sidewalk Seating,Approved for Roadway Seating,Time of Submission,,,Score,Grade,BOROUGH,Violation Code,Violation Description,Cuisin
both,50056793,yes,yes,2020/8/14,,,13,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Indian
both,41031977,yes,yes,2020/8/16,,,13,A,Queens,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Bagels/Pretzels
sidewalk,50109916,yes,no,2021/4/22,,,6,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Italian
sidewalk,50079429,yes,no,2021/4/18,,,0,A,Brooklyn,0,Food contact surface improperly constructed or located. Unacceptable material used.,Middle Eastern
roadway,50081416,no,yes,2021/2/8,,,13,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Soul Food
both,50101212,yes,yes,2020/8/15,,,12,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Pizza
both,50107728,yes,yes,2021/2/9,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50003337,yes,no,2020/6/26,,,12,A,Manhattan,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Vegetarian
both,50108457,yes,yes,2021/2/10,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50105535,yes,yes,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50098653,yes,yes,2021/2/9,,,3,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Tex-Mex
both,50017778,yes,yes,2020/7/17,,,14,B,Bronx,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Juice, Smoothies, Fruit Salads"
roadway,50108007,no,yes,2021/2/10,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50098186,no,yes,2020/8/26,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41612461,yes,no,2021/8/17,,,8,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",French
sidewalk,50108955,yes,no,2021/4/16,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50096488,no,yes,2020/8/15,,,23,B,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Asian/Asian Fusion
sidewalk,41670030,yes,no,2020/7/17,,,8,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Bagels/Pretzels
both,50105639,yes,yes,2020/8/17,,,5,A,Manhattan,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Bakery Products/Desserts
roadway,41710310,no,yes,2021/4/22,,,12,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Salads
both,40868762,yes,yes,2021/4/22,,,59,C,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Mexican
sidewalk,50078731,yes,no,2020/8/15,,,13,A,Queens,10J,Hand wash sign not posted,Hamburgers
sidewalk,41263130,yes,no,2021/4/22,,,12,A,Brooklyn,02B,Hot food item not held at or above 140º F.,Mexican
both,50107262,yes,yes,2021/4/23,,,8,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Coffee/Tea
roadway,50002771,no,yes,2020/8/15,,,19,B,Brooklyn,10H,Proper sanitization not provided for utensil ware washing operation.,Middle Eastern
both,50108668,yes,yes,2021/8/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,40854950,no,yes,2021/8/19,,,13,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,Italian
sidewalk,50105559,yes,no,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50113143,yes,no,2021/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,40596246,yes,no,2020/8/16,,,10,A,Bronx,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Greek
roadway,40512258,no,yes,2021/8/21,,,3,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Japanese
roadway,41327349,no,yes,2021/8/24,,,4,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Vegetarian
sidewalk,41707582,yes,no,2021/8/21,,,7,A,Bronx,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Japanese
sidewalk,50105535,yes,no,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50044017,yes,yes,2020/8/16,,,11,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Juice, Smoothies, Fruit Salads"
roadway,50055139,no,yes,2021/4/25,,,13,A,Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Korean
both,40928483,yes,yes,2021/2/16,,,7,A,Manhattan,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,American
sidewalk,50073215,yes,no,2020/6/24,,,12,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Latin American
both,50056793,yes,yes,2020/8/14,,,13,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Indian
both,50077029,yes,yes,2021/2/16,,,10,A,Queens,06F,Wiping cloths soiled or not stored in sanitizing solution.,Bakery Products/Desserts
both,50070567,yes,yes,2020/8/14,,,13,A,Queens,10H,Proper sanitization not provided for utensil ware washing operation.,Indonesian
both,40909191,yes,yes,2021/2/16,,,8,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,50090316,yes,yes,2021/2/16,,,4,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Pizza
sidewalk,50103256,yes,no,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50105500,yes,yes,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,40978252,yes,no,2020/6/23,,,8,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Steakhouse
both,50105465,yes,yes,2020/8/17,,,12,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Sandwiches/Salads/Mixed Buffet
both,41636886,yes,yes,2020/6/22,,,11,A,Manhattan,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Middle Eastern
both,50105476,yes,yes,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50090446,yes,yes,2020/8/16,,,5,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Coffee/Tea
both,41603214,yes,yes,2020/7/8,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41711468,yes,yes,2020/6/20,,,10,A,Brooklyn,10I,"Single service item reused, improperly stored, dispensed; not used when required.",American
sidewalk,50047718,yes,no,2020/7/19,,,3,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
both,50103115,yes,yes,2020/8/14,,,11,A,Bronx,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Bangladeshi
roadway,50005983,no,yes,2020/12/14,,,13,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Japanese
sidewalk,50105235,yes,no,2020/8/14,,,12,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Pizza
both,41250217,yes,yes,2020/8/14,,,2,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Middle Eastern
both,50056330,yes,yes,2020/8/17,,,10,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
sidewalk,50068083,yes,no,2021/2/17,,,37,C,Bronx,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Caribbean
both,50000150,yes,yes,2020/6/22,,,2,C,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
roadway,50078316,no,yes,2020/8/14,,,13,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Bagels/Pretzels
roadway,50105410,no,yes,2020/8/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50092790,no,yes,2021/1/12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40596246,yes,yes,2020/8/16,,,10,A,Bronx,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Greek
roadway,50073848,no,yes,2021/2/16,,,7,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Coffee/Tea
both,50107737,yes,yes,2021/4/23,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41420036,yes,no,2020/8/16,,,9,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
sidewalk,50069376,yes,no,2020/8/16,,,42,C,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Chinese
both,50105603,yes,yes,2020/8/17,,,8,A,Manhattan,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,French
sidewalk,50061469,yes,no,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50104019,no,yes,2020/8/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50075766,yes,yes,2020/8/15,,,10,A,Queens,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Asian/Asian Fusion
both,41682968,yes,yes,2020/6/25,,,14,B,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Latin American
both,50105626,yes,yes,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50105543,yes,yes,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50105280,yes,no,2020/8/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50092090,no,yes,2020/7/20,,,13,A,Manhattan,09B,Thawing procedures improper.,Asian/Asian Fusion
sidewalk,50053975,yes,no,2020/8/17,,,9,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Coffee/Tea
roadway,50105118,no,yes,2020/8/15,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41237861,yes,no,2021/2/19,,,12,A,Manhattan,06F,Wiping cloths soiled or not stored in sanitizing solution.,Italian
roadway,40608746,no,yes,2020/10/11,,,13,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Tapas
both,50100280,yes,yes,2020/7/17,,,6,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Asian/Asian Fusion
both,50097610,yes,yes,2020/8/15,,,7,A,Manhattan,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Sandwiches
sidewalk,50039979,yes,no,2020/6/21,,,11,A,Brooklyn,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Japanese
roadway,50080247,no,yes,2020/6/19,,,7,A,Staten Island,02I,Food prepared from ingredients at ambient temperature not cooled to 41º F or below within 4 hours.,American
openstreets,41632738,no,no,2020/7/7,,,23,B,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,American
openstreets,50089355,no,no,2020/8/28,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50107048,yes,yes,2021/2/19,,,10,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Other
roadway,40399620,no,yes,2020/7/7,,,12,A,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Bottled Beverages
roadway,50011690,no,yes,2020/6/24,,,13,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mexican
sidewalk,50105725,yes,no,2021/2/23,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50056063,yes,yes,2020/6/20,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
sidewalk,41630839,yes,no,2021/2/22,,,12,A,Manhattan,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,American
both,41474224,yes,yes,2020/7/17,,,9,A,Manhattan,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Jewish/Kosher
sidewalk,G780969,yes,no,2020/6/21,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50010165,no,yes,2021/2/24,,,9,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Juice, Smoothies, Fruit Salads"
both,40392834,yes,yes,2020/7/14,,,24,B,Manhattan,06F,Wiping cloths soiled or not stored in sanitizing solution.,Mexican
sidewalk,50108528,yes,no,2021/2/23,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50035069,yes,no,2020/8/14,,,12,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,Mexican
sidewalk,41713782,yes,no,2021/2/23,,,10,A,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Coffee/Tea
sidewalk,50017538,yes,no,2020/6/23,,,24,B,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
roadway,50035278,no,yes,2020/6/24,,,13,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mexican
roadway,40881627,no,yes,2021/2/24,,,2,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Juice, Smoothies, Fruit Salads"
both,41271537,yes,yes,2020/7/10,,,9,A,Bronx,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Latin American
roadway,50016926,no,yes,2020/6/23,,,11,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,French
sidewalk,4610756,yes,no,2020/7/15,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,40999052,yes,no,2020/7/2,,,13,A,Brooklyn,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Pizza
roadway,41151982,no,yes,2020/6/29,,,13,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Italian
both,50011722,yes,yes,2020/7/30,,,9,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Mediterranean
both,40374415,yes,yes,2020/9/6,,,7,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Japanese
both,50043566,yes,yes,2020/6/24,,,11,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
sidewalk,40922958,yes,no,2020/7/2,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,50035244,yes,yes,2020/6/22,,,10,A,Manhattan,02B,Hot food item not held at or above 140º F.,Italian
both,50082931,yes,yes,2020/6/21,,,9,A,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Italian
both,40045350,yes,yes,2020/6/22,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50033976,no,yes,2020/6/25,,,7,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Seafood
roadway,50046667,no,yes,2021/2/24,,,13,A,Brooklyn,04A,Food Protection Certificate not held by supervisor of food operations.,Chinese
sidewalk,50044855,yes,no,2020/6/22,,,12,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Barbecue
both,50107195,yes,yes,2021/2/24,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50086042,yes,yes,2020/7/23,,,13,A,Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Spanish
both,50072282,yes,yes,2021/2/25,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,40559606,no,yes,2020/7/11,,,10,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Southeast Asian
sidewalk,50038241,yes,no,2020/6/21,,,12,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Chinese
both,41643852,yes,yes,2020/8/15,,,11,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Vegetarian
sidewalk,50054674,yes,no,2020/7/2,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,40392496,no,yes,2020/6/27,,,13,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,French
sidewalk,50073627,yes,no,2021/2/25,,,13,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Japanese
sidewalk,40736836,yes,no,2020/6/24,,,4,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,American
openstreets,41716115,no,no,2020/8/17,,,5,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Chicken
roadway,40815637,no,yes,2020/6/26,,,13,A,Queens,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,American
roadway,40393725,no,yes,2021/4/19,,,8,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
both,50105094,yes,yes,2020/9/26,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,40544107,no,yes,2020/10/28,,,12,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Indian
both,50083431,yes,yes,2020/10/28,,,12,A,Queens,04A,Food Protection Certificate not held by supervisor of food operations.,Russian
both,40987257,yes,yes,2020/7/13,,,9,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,Italian
both,41515855,yes,yes,2020/6/20,,,12,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
both,50082095,yes,yes,2020/6/22,,,23,B,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Asian/Asian Fusion
sidewalk,50102442,yes,no,2021/3/1,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,RECORD # 50000956 CODE H25 CLASS/SUBCLASS FS,yes,no,2020/6/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41323665,yes,no,2020/6/24,,,11,A,Brooklyn,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Peruvian
both,40388901,yes,yes,2020/6/23,,,8,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Latin American
sidewalk,41264019,yes,no,2020/9/11,,,13,A,Manhattan,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Spanish
both,50052779,yes,yes,2020/7/13,,,11,A,Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Japanese
roadway,50046879,no,yes,2020/6/21,,,12,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Italian
sidewalk,50052874,yes,no,2020/7/2,,,56,C,Queens,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Caribbean
both,41476195,yes,yes,2020/6/28,,,13,A,Manhattan,06F,Wiping cloths soiled or not stored in sanitizing solution.,Indian
sidewalk,41400748,yes,no,2020/6/23,,,6,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Irish
both,40798773,yes,yes,2020/8/26,,,3,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mexican
both,50109648,yes,yes,2021/4/26,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50008076,yes,no,2021/4/27,,,42,C,Brooklyn,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Chinese
sidewalk,50071004,yes,no,2020/7/19,,,19,B,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Jewish/Kosher
sidewalk,41615257,yes,no,2020/6/25,,,11,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Japanese
roadway,50095837,no,yes,2020/6/26,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50103790,yes,yes,2020/7/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,49394329,yes,no,2020/6/24,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50044253,yes,yes,2020/6/22,,,8,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Continental
both,41610426,yes,yes,2020/6/23,,,20,B,Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Thai
sidewalk,50060323,yes,no,2020/6/20,,,7,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Polish
roadway,41681319,no,yes,2020/6/25,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
